name,x,y
adventurous,0.4898,0.9421
afraid,-0.4,0.8058
alarmed,-0.0735,0.9091
ambitious,0.4245,0.6736
amorous,0.8531,-0.1198
amused,0.5551,0.2107
angry,-0.1061,0.8058
annoyed,-0.4367,0.6777
anxious,-0.7224,-0.781
apathetic,-0.1959,-0.1157
aroused,0.3796,0.9421
ashamed,-0.4531,-0.4793
astonished,0.4245,0.9091
at ease,0.7755,-0.6116
attentive,0.4653,-0.4504
bellicose,-0.1061,0.9752
bitter,-0.8,0.281
bored,-0.3347,-0.7769
calm,0.7551,-0.6488
compassionate,0.3837,-0.9091
conceited,0.1918,0.6736
confident,0.5143,-0.1818
conscientious,0.2367,-0.7851
contemplative,0.5918,-0.5785
contemptuous,-0.5796,0.6777
content,0.8204,-0.5496
convinced,0.3878,0.4421
courageous,0.8163,0.6074
defiant,-0.6041,0.7438
dejected,-0.502,-0.843
delighted,0.8857,0.3802
depressed,-0.8041,-0.4463
desperate,-0.8163,-0.4793
despondent,-0.5673,-0.4132
determined,0.7469,0.2769
disappointed,-0.7959,-0.0165
discontented,-0.6653,0.3471
disgusted,-0.6653,0.5124
dissatisfied,-0.6,-0.1488
distressed,-0.702,0.5744
distrustful,-0.4694,0.1157
doubtful,-0.2735,-0.9421
droopy,-0.3184,-0.9091
embarrassed,-0.3102,-0.5785
enraged,-0.1633,0.7397
enthusiastic,0.502,0.343
envious,-0.351,0.8388
excited,0.702,0.7397
expectant,0.3224,0.0826
feel well,0.9184,-0.0496
feeling superior,0.3224,0.5744
friendly,0.7673,-0.5785
frustrated,-0.5592,0.4132
glad,0.951,-0.1488
gloomy,-0.8653,-0.4463
guilty,-0.4,-0.4132
happy,0.9061,0.1777
hateful,-0.5796,0.876
hesitant,-0.3061,-0.7107
hopeful,0.6245,-0.2851
hostile,-0.2735,0.9091
impatient,-0.0408,0.314
impressed,0.3918,-0.0537
indignant,-0.2367,0.4793
insulted,-0.7306,0.2149
interested,0.6531,0.0496
jealous,-0.0735,0.5785
joyous,0.951,0.1488
languid,-0.1878,-0.4835
lighthearted,0.4245,0.314
loathing,-0.8,0.4463
longing,0.2245,-0.4132
lusting,0.2245,0.8678
melancholic,-0.0367,-0.6446
miserable,-0.9224,-0.1157
passionate,0.3143,0.1488
peaceful,0.5592,-0.781
pensive,0.0408,-0.5785
pleased,0.8857,-0.0826
polite,0.3714,-0.6446
relaxed,0.7184,-0.6446
reverent,0.2286,-0.9463
sad,-0.8163,-0.3802
satisfied,0.7224,-0.5785
self-confident,0.8204,0.6777
serene,0.8735,-0.4669
serious,0.2245,-0.6446
sleepy,0.0245,-0.9793
solemn,0.8204,-0.4504
startled,-0.9143,0.0496
suspicious,-0.3102,0.2769
taken aback,-0.4041,-0.2149
tense,-0.0163,0.876
tired,-0.0122,-0.9793
triumphant,0.6531,0.8058
uncomfortable,-0.6653,-0.3512
wavering,-0.5837,-0.6901
worried,-0.0735,-0.3182
